Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2020,1,Capital Federal,"105,98",59,1.352.104,1.390,1.353.494
2020,1,Catamarca,"37,62",29,39.634,1,39.635
2020,1,Chaco,"37,48",26,120.274,3,120.277
2020,1,Chubut,"51,27",7,95.938,800,96.738
2020,1,Córdoba,"70,69",29,811.044,55,811.099
2020,1,Corrientes,"38,73",21,113.967,3,113.970
2020,1,Entre Ríos,"56,12",19,231.833,13,231.846
2020,1,Formosa,"30,23",16,46.434,- 0,46.434
2020,1,Jujuy,"46,67",14,91.665,- 0,91.665
2020,1,La Pampa,"75,77",7,89.110,116,89.226
2020,1,La Rioja,"46,35",8,48.337,3,48.340
2020,1,Mendoza,"33,14",8,182.837,615,183.452
2020,1,Misiones,"39,02",22,133.552,- 0,133.552
2020,1,Neuquén,"61,85",28,121.354,373,121.727
2020,1,Río Negro,"55,12",19,125.699,501,126.200
2020,1,Salta,"49,6",21,170.379,2,170.381
2020,1,San Juan,"32,39",6,63.975,256,64.231
2020,1,San Luis,"76,31",21,110.404,148,110.552
2020,1,Santa Cruz,"35,97",6,38.625,197,38.822
2020,1,Santa Fe,"69,52",22,770.981,137,771.118
2020,1,Santiago Del Estero,"42,47",10,102.754,1,102.755
2020,1,Tierra Del Fuego,"76,07",7,38.505,289,38.794
2020,1,Tucumán,"47,85",32,200.045,22,200.067
2019,4,Buenos Aires,"64,25",31,3.681.120,5.134,3.686.254
2019,4,Capital Federal,"106,25",44,1.356.695,1.410,1.358.105
2019,4,Catamarca,"36,44",25,38.310,1,38.311
2019,4,Chaco,"36,84",23,117.900,3,117.903
2019,4,Chubut,"51,15",7,95.292,810,96.102
2019,4,Córdoba,"70,48",26,806.633,55,806.688
2019,4,Corrientes,"38,77",19,113.831,3,113.834
2019,4,Entre Ríos,"57,99",17,239.017,13,239.030
2019,4,Formosa,"30,47",15,46.711,- 0,46.711
2019,4,Jujuy,"45,38",13,88.881,- 0,88.881
2019,4,La Pampa,"76,92",7,90.280,119,90.399
2019,4,La Rioja,"47,14",8,48.999,3,49.002
2019,4,Mendoza,"33,65",8,185.157,623,185.780
2019,4,Misiones,"39,79",20,135.813,- 0,135.813
2019,4,Neuquén,"59,36",26,116.069,376,116.445
2019,4,Río Negro,"55,71",17,126.636,504,127.140
2019,4,Salta,"50,35",19,172.443,2,172.445
2019,4,San Juan,"32,85",6,64.715,259,64.974
2019,4,San Luis,"74,92",21,108.053,148,108.201
2019,4,Santa Cruz,"36,71",5,39.170,200,39.370
2019,4,Santa Fe,"69,48",21,769.019,150,769.169
2019,4,Santiago Del Estero,"42,92",10,103.587,1,103.588
2019,4,Tierra Del Fuego,"79,7",7,40.101,291,40.392
2019,4,Tucumán,"47,65",30,198.621,23,198.644
2019,3,Buenos Aires,"69,36",26,3.950.114,10.119,3.960.233
2019,3,Capital Federal,"112,65",39,1.437.734,3.477,1.441.211
2019,3,Catamarca,"30,88",9,32.391,9,32.400
2019,3,Chaco,"35,85",20,114.438,13,114.451
2019,3,Chubut,"47,57",7,87.481,1.524,89.005
2019,3,Córdoba,"68,59",23,782.946,107,783.053
2019,3,Corrientes,"38,49",17,112.749,10,112.759
2019,3,Entre Ríos,"57,9",15,238.057,45,238.102
2019,3,Formosa,"30,11",13,46.066,- 0,46.066
2019,3,Jujuy,"44,32",12,86.575,1,86.576
2019,3,La Pampa,"77,45",6,90.559,269,90.828
2019,3,La Rioja,"47,94",8,49.659,18,49.677
2019,3,Mendoza,"40,74",6,223.015,1.322,224.337
2019,3,Misiones,"39,33",18,133.883,- 0,133.883
2019,3,Neuquén,"64,14",24,123.435,1.986,125.421
2019,3,Río Negro,"63,42",16,143.391,904,144.295
2019,3,Salta,"44,48",15,151.834,1,151.835
2019,3,San Juan,"37,06",6,72.535,563,73.098
2019,3,San Luis,"85,23",20,122.409,291,122.700
2019,3,Santa Cruz,"35,63",5,37.642,328,37.970
2019,3,Santa Fe,"68,87",18,760.706,228,760.934
2019,3,Santiago Del Estero,"55,3",9,133.130,2,133.132
2019,3,Tierra Del Fuego,"96,46",7,48.043,544,48.587
2019,3,Tucumán,"39,49",19,164.099,32,164.131
2019,2,Buenos Aires,"67,85",22,3.845.594,10.104,3.855.698
2019,2,Capital Federal,"110,55",30,1.412.177,3.443,1.415.620
2019,2,Catamarca,"32,13",9,33.626,9,33.635
2019,2,Chaco,"34,14",16,108.721,13,108.734
2019,2,Chubut,"46,99",6,86.038,1.518,87.556
2019,2,Córdoba,"68,07",18,775.023,105,775.128
2019,2,Corrientes,"38,16",14,111.539,10,111.549
2019,2,Entre Ríos,"57,48",12,235.780,44,235.824
2019,2,Formosa,"30,42",11,46.438,- 0,46.438
2019,2,Jujuy,"44,51",12,86.706,1,86.707
2019,2,La Pampa,"77,08",5,89.937,268,90.205
2019,2,La Rioja,"48,7",8,50.283,18,50.301
2019,2,Mendoza,"40,75",6,222.535,1.322,223.857
2019,2,Misiones,"39,15",14,132.878,- 0,132.878
2019,2,Neuquén,"63,08",17,120.954,1.999,122.953
2019,2,Río Negro,"61,09",12,137.632,915,138.547
2019,2,Salta,"41,89",13,142.567,1,142.568
2019,2,San Juan,"35,6",6,69.461,564,70.025
2019,2,San Luis,"81,79",20,117.094,291,117.385
2019,2,Santa Cruz,"28,85",6,30.225,325,30.550
2019,2,Santa Fe,"67,42",15,743.258,226,743.484
2019,2,Santiago Del Estero,"52,79",7,126.752,2,126.754
2019,2,Tierra Del Fuego,"94,8",6,46.910,544,47.454
2019,2,Tucumán,"40,14",19,166.299,32,166.331
2019,1,Buenos Aires,"66,24",20,3.736.563,10.104,3.746.667
2019,1,Capital Federal,"109,2",25,1.396.157,3.443,1.399.600
2019,1,Catamarca,"32,19",8,33.613,9,33.622
2019,1,Chaco,"32,64",13,103.664,13,103.677
2019,1,Chubut,43,6,78.260,1.518,79.778
2019,1,Córdoba,"65,52",16,744.010,105,744.115
2019,1,Corrientes,"35,13",12,102.477,10,102.487
2019,1,Entre Ríos,"56,79",11,232.403,44,232.447
2019,1,Formosa,"29,68",10,45.211,- 0,45.211
2019,1,Jujuy,"46,41",9,90.146,1,90.147
2019,1,La Pampa,"76,35",5,88.892,268,89.160
2019,1,La Rioja,"50,18",7,51.638,18,51.656
2019,1,Mendoza,"37,66",6,204.976,1.322,206.298
2019,1,Misiones,"36,26",13,122.720,- 0,122.720
2019,1,Neuquén,"58,88",16,112.321,2.056,114.377
2019,1,Río Negro,"53,57",10,120.173,915,121.088
2019,1,Salta,"40,1",10,136.019,1,136.020
2019,1,San Juan,"31,83",6,61.881,564,62.445
2019,1,San Luis,"67,34",9,96.044,291,96.335
2019,1,Santa Cruz,"23,67",6,24.580,325,24.905
2019,1,Santa Fe,"66,97",13,736.851,227,737.078
2019,1,Santiago Del Estero,"37,52",6,89.851,2,89.853
2019,1,Tierra Del Fuego,"93,38",6,45.903,544,46.447
2019,1,Tucumán,"41,63",17,171.970,32,172.002
2018,4,Buenos Aires,"64,6",17,3.626.502,10.104,3.636.606
2018,4,Capital Federal,"108,27",23,1.385.577,3.443,1.389.020
2018,4,Catamarca,"32,23",8,33.574,9,33.583
2018,4,Chaco,"32,59",13,103.257,13,103.270
2018,4,Chubut,"42,61",6,77.204,1.518,78.722
2018,4,Córdoba,"65,09",16,737.234,105,737.339
2018,4,Corrientes,"34,57",12,100.591,10,100.601
2018,4,Entre Ríos,"54,37",11,222.003,44,222.047
2018,4,Formosa,"29,74",10,45.204,- 0,45.204
2018,4,Jujuy,"46,53",9,90.132,1,90.133
2018,4,La Pampa,"73,49",4,85.368,268,85.636
2018,4,La Rioja,"50,35",7,51.633,18,51.651
2018,4,Mendoza,"37,76",6,204.982,1.322,206.304
2018,4,Misiones,"34,45",12,116.273,- 0,116.273
2018,4,Neuquén,"59,07",16,112.309,2.056,114.365
2018,4,Río Negro,"51,86",10,115.922,915,116.837
2018,4,Salta,"39,8",10,134.577,1,134.578
2018,4,San Juan,"31,9",6,61.834,564,62.398
2018,4,San Luis,"67,55",9,96.040,291,96.331
2018,4,Santa Cruz,"23,69",5,24.443,325,24.768
2018,4,Santa Fe,"65,59",13,720.161,229,720.390
2018,4,Santiago Del Estero,"37,4",6,89.333,2,89.335
2018,4,Tierra Del Fuego,"93,59",7,45.716,544,46.260
2018,4,Tucumán,"41,76",17,171.972,32,172.004
2018,3,Buenos Aires,"64,44",17,3.599.714,10.563,3.610.277
2018,3,Capital Federal,"108,45",22,1.385.804,6.686,1.392.490
2018,3,Catamarca,"32,92",8,34.215,11,34.226
2018,3,Chaco,"32,28",13,102.021,12,102.033
2018,3,Chubut,"56,39",6,101.310,2.426,103.736
2018,3,Córdoba,"64,24",15,725.764,94,725.858
2018,3,Corrientes,"34,25",11,99.445,11,99.456
2018,3,Entre Ríos,"50,22",11,204.560,48,204.608
2018,3,Formosa,"29,58",9,44.865,- 0,44.865
2018,3,Jujuy,"23,26",8,44.934,1,44.935
2018,3,La Pampa,"71,75",4,83.180,244,83.424
2018,3,La Rioja,"50,73",6,51.855,17,51.872
2018,3,Mendoza,"37,99",6,205.545,1.484,207.029
2018,3,Misiones,"32,1",12,108.042,- 0,108.042
2018,3,Neuquén,"60,49",15,114.713,2.005,116.718
2018,3,Río Negro,"50,54",10,112.433,1.059,113.492
2018,3,Salta,"39,43",9,132.882,1,132.883
2018,3,San Juan,"33,05",6,63.823,658,64.481
2018,3,San Luis,"52,35",9,74.121,300,74.421
2018,3,Santa Cruz,"32,73",5,33.565,434,33.999
2018,3,Santa Fe,"63,41",12,694.883,217,695.100
2018,3,Santiago Del Estero,"36,25",6,86.358,2,86.360
2018,3,Tierra Del Fuego,"92,77",6,45.056,508,45.564
2018,3,Tucumán,"41,68",15,171.135,31,171.166
2018,2,Buenos Aires,"62,78",15,3.490.134,10.565,3.500.699
2018,2,Capital Federal,"106,53",19,1.362.498,6.688,1.369.186
2018,2,Catamarca,"32,86",8,34.078,11,34.089
2018,2,Chaco,"31,25",12,98.509,12,98.521
2018,2,Chubut,"54,9",5,98.137,2.427,100.564
2018,2,Córdoba,"63,27",14,712.979,94,713.073
2018,2,Corrientes,"33,81",11,97.946,11,97.957
2018,2,Entre Ríos,"49,2",10,199.937,48,199.985
2018,2,Formosa,"29,43",9,44.554,,44.554
2018,2,Jujuy,"23,43",6,45.132,1,45.133
2018,2,La Pampa,"71,04",4,82.177,244,82.421
2018,2,La Rioja,"50,98",6,51.931,17,51.948
2018,2,Mendoza,"36,97",6,199.468,1.484,200.952
2018,2,Misiones,"31,63",12,106.147,,106.147
2018,2,Neuquén,"60,24",13,113.842,2.006,115.848
2018,2,Río Negro,"50,15",10,111.176,1.059,112.235
2018,2,Salta,"39,94",9,134.166,1,134.167
2018,2,San Juan,"32,95",6,63.443,658,64.101
2018,2,San Luis,"15,15",6,21.168,300,21.468
2018,2,Santa Cruz,"33,33",5,33.970,435,34.405
2018,2,Santa Fe,"62,57",12,684.243,309,684.552
2018,2,Santiago Del Estero,"35,26",6,83.773,2,83.775
2018,2,Tierra Del Fuego,"91,61",6,44.199,508,44.707
2018,2,Tucumán,"41,51",14,169.926,31,169.957
2018,1,Buenos Aires,"62,63",14,3.464.882,10.564,3.475.446
2018,1,Capital Federal,"106,24",18,1.359.882,6.688,1.366.570
2018,1,Catamarca,"32,79",8,33.934,11,33.945
2018,1,Chaco,"30,83",12,96.925,12,96.937
2018,1,Chubut,"53,72",5,95.532,2.427,97.959
2018,1,Córdoba,"63,52",13,713.825,101,713.926
2018,1,Corrientes,"32,66",11,94.406,11,94.417
2018,1,Entre Ríos,"48,68",10,197.346,48,197.394
2018,1,Formosa,"21,4",11,32.328,- 0,32.328
2018,1,Jujuy,"23,12",7,44.405,1,44.406
2018,1,La Pampa,"71,75",4,82.668,396,83.064
2018,1,La Rioja,"51,44",6,52.228,17,52.245
2018,1,Mendoza,"37,07",6,199.463,1.484,200.947
2018,1,Misiones,"30,96",12,103.580,- 0,103.580
2018,1,Neuquén,"61,52",12,115.897,2.006,117.903
2018,1,Río Negro,"49,82",9,110.057,1.062,111.119
2018,1,Salta,"39,78",9,133.182,1,133.183
2018,1,San Juan,"32,61",6,62.610,658,63.268
2018,1,San Luis,"15,15",6,21.096,300,21.396
2018,1,Santa Cruz,"33,55",5,33.970,435,34.405
2018,1,Santa Fe,"62,28",11,679.717,309,680.026
2018,1,Santiago Del Estero,"34,99",6,82.916,2,82.918
2018,1,Tierra Del Fuego,"65,2",6,31.106,508,31.614
2018,1,Tucumán,"41,18",9,168.026,31,168.057
2017,4,Buenos Aires,"57,61",13,3.171.206,10.690,3.181.896
2017,4,Capital Federal,"122,9",15,1.575.418,6.906,1.582.324
2017,4,Catamarca,"28,62",8,29.548,10,29.558
2017,4,Chaco,"30,81",12,96.603,12,96.615
2017,4,Chubut,"51,46",5,91.012,2.428,93.440
2017,4,Córdoba,"63,33",12,709.874,105,709.979
2017,4,Corrientes,"32,52",10,93.760,11,93.771
2017,4,Entre Ríos,"47,89",9,193.654,49,193.703
2017,4,Formosa,"21,27",10,32.056,- 0,32.056
2017,4,Jujuy,"22,74",7,43.551,1,43.552
2017,4,La Pampa,"71,05",4,81.675,396,82.071
2017,4,La Rioja,"51,57",6,52.177,17,52.194
2017,4,Mendoza,"33,33",6,178.661,1.490,180.151
2017,4,Misiones,"31,14",11,103.895,- 0,103.895
2017,4,Neuquén,"61,24",11,114.965,2.006,116.971
2017,4,Río Negro,"49,38",8,108.702,1.062,109.764
2017,4,Salta,"39,8",8,132.811,1,132.812
2017,4,San Juan,"30,3",6,57.965,659,58.624
2017,4,San Luis,"10,59",6,14.604,300,14.904
2017,4,Santa Cruz,"28,91",5,29.018,434,29.452
2017,4,Santa Fe,"61,71",10,672.137,323,672.460
2017,4,Santiago Del Estero,"29,13",6,68.842,2,68.844
2017,4,Tierra Del Fuego,"59,89",5,28.346,508,28.854
2017,4,Tucumán,"39,9",9,162.298,34,162.332
2017,3,Buenos Aires,"55,63",8,3.046.758,11.202,3.057.960
2017,3,Capital Federal,"121,86",11,1.563.289,7.070,1.570.359
2017,3,Catamarca,"32,49",5,33.467,11,33.478
2017,3,Chaco,"29,98",8,93.747,12,93.759
2017,3,Chubut,"46,22",3,81.067,2.477,83.544
2017,3,Córdoba,"62,31",9,696.536,108,696.644
2017,3,Corrientes,"32,17",7,92.536,12,92.548
2017,3,Entre Ríos,"45,96",7,185.414,50,185.464
2017,3,Formosa,"21,35",7,32.105,- 0,32.105
2017,3,Jujuy,"22,65",5,43.241,1,43.242
2017,3,La Pampa,"69,14",3,79.280,410,79.690
2017,3,La Rioja,"51,47",5,51.896,17,51.913
2017,3,Mendoza,"35,7",4,190.958,1.533,192.491
2017,3,Misiones,"30,21",8,100.476,- 0,100.476
2017,3,Neuquén,"60,83",8,113.755,2.029,115.784
2017,3,Río Negro,"48,52",5,106.393,1.103,107.496
2017,3,Salta,"39,84",6,132.517,1,132.518
2017,3,San Juan,"32,37",3,61.789,660,62.449
2017,3,San Luis,"15,48",4,21.408,311,21.719
2017,3,Santa Cruz,"33,29",4,33.222,468,33.690
2017,3,Santa Fe,"60,91",8,662.086,256,662.342
2017,3,Santiago Del Estero,"35,12",5,82.792,2,82.794
2017,3,Tierra Del Fuego,"65,74",3,30.883,583,31.466
2017,3,Tucumán,"39,7",6,160.979,33,161.012
2017,2,Buenos Aires,"56,27",7,3.067.430,11.201,3.078.631
2017,2,Capital Federal,"124,06",9,1.592.175,8.016,1.600.191
2017,2,Catamarca,"25,98",5,26.692,13,26.705
2017,2,Chaco,"29,05",8,90.597,14,90.611
2017,2,Chubut,"35,55",3,62.245,1.730,63.975
2017,2,Córdoba,"58,97",7,657.505,133,657.638
2017,2,Corrientes,"31,39",7,90.085,12,90.097
2017,2,Entre Ríos,"45,39",6,182.675,57,182.732
2017,2,Formosa,"19,97",6,29.956,- 0,29.956
2017,2,Jujuy,"22,4",5,42.656,1,42.657
2017,2,La Pampa,"63,49",3,72.573,449,73.022
2017,2,La Rioja,"16,2",6,16.271,18,16.289
2017,2,Mendoza,"31,76",4,169.302,1.451,170.753
2017,2,Misiones,"30,09",8,99.794,- 0,99.794
2017,2,Neuquén,"61,91",7,115.321,2.112,117.433
2017,2,Río Negro,"46,02",5,100.621,998,101.619
2017,2,Salta,"32,74",6,108.540,1,108.541
2017,2,San Juan,"26,96",3,51.261,620,51.881
